,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
50263,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Kera BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50264,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Lotapahar BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.6184219,85.5681259,22.6184219,5.27584,17.342581900000003
50265,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Mahulpani BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50266,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Otar BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50332,Punjab Circle,DivReportingCircle,Sangrur Division,Kalyan BO,148020,BO,Delivery,MALERKOTLA,PUNJAB,19.2403300,73.1305390,19.24033,30.587701,-11.347370999999999
50333,Punjab Circle,DivReportingCircle,Sangrur Division,Khurd BO,148020,BO,Delivery,MALERKOTLA,PUNJAB,9.5717690,76.6614850,9.571769,30.587701,-21.015932
50343,Punjab Circle,DivReportingCircle,Sangrur Division,Lassoi BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.5848090,76.0130780,30.584809,15.383333,15.201476
50347,Punjab Circle,DivReportingCircle,Sangrur Division,Kothala BO,148020,BO,Delivery,MALERKOTLA,PUNJAB,9.5717690,76.6614850,9.571769,30.587701,-21.015932
50380,Punjab Circle,Punjab West Region,Hoshiarpur Division,Paddi Sura Singh BO,144529,BO,Delivery,HOSHIARPUR,PUNJAB,75.0400000,31.8900000,75.04,31.45,43.59
50396,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Kebra BO,833103,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.568,85.3072,22.568,41.1171,-18.5491
50397,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Sarugara BO,833103,BO,Delivery,WEST SINGHBHUM,JHARKHAND,23.3553,87.2494,23.3553,41.1171,-17.7618
50412,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Barabamboo BO,833102,BO,Delivery,SARAIKELA KHARSAWAN,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50413,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Jojokurma BO,833102,BO,Delivery,SARAIKELA KHARSAWAN,JHARKHAND,22.6683120,85.6255110,22.668312,5.27584,17.392472
